camera,source_frame,receive_time_s,region,mask_pixels,laplacian_variance,mean_gradient_energy,intensity_std
brio101,347,11.607299227999999,ball_roi,733027,159.6831817626953,637.1357421875,41.09377670288086
brio101,347,11.607299227999999,red,109522,332.82708740234375,1640.6207275390625,28.500099182128906
brio101,347,11.607299227999999,green,8011,404.08453369140625,2159.141357421875,24.906185150146484
brio101,559,18.687581344999998,ball_roi,733027,150.67550659179688,536.1241455078125,41.284584045410156
brio101,559,18.687581344999998,red,114114,307.54034423828125,1468.5767822265625,29.154014587402344
brio101,559,18.687581344999998,green,10108,239.71279907226562,1692.9703369140625,30.575382232666016
brio101,560,18.724339851,ball_roi,733027,145.36573791503906,527.74951171875,41.47414016723633
brio101,560,18.724339851,red,108331,304.0549011230469,1448.0015869140625,28.584672927856445
brio101,560,18.724339851,green,15618,233.22976684570312,1442.688232421875,34.89849853515625
brio101,561,18.755574552,ball_roi,733027,155.74002075195312,586.8803100585938,41.563201904296875
brio101,561,18.755574552,red,101151,294.8429260253906,1391.881103515625,28.103946685791016
brio101,561,18.755574552,green,16576,235.13592529296875,1258.931640625,37.90092849731445
brio101,562,18.787572622,ball_roi,733027,159.77064514160156,609.050048828125,42.04308319091797
brio101,562,18.787572622,red,94572,300.96484375,1427.1663818359375,27.51693344116211
brio101,562,18.787572622,green,15614,280.38433837890625,1443.7899169921875,36.75520324707031
brio101,563,18.823935054,ball_roi,733027,163.0132293701172,607.4976196289062,42.86872863769531
brio101,563,18.823935054,red,88393,308.9999084472656,1481.8018798828125,26.693286895751953
brio101,563,18.823935054,green,21497,295.3566589355469,1472.671875,36.634090423583984
brio101,564,18.855612958,ball_roi,733027,168.1962890625,664.05810546875,44.09186935424805
brio101,564,18.855612958,red,82162,292.1126403808594,1407.629150390625,26.062850952148438
brio101,564,18.855612958,green,24290,254.50674438476562,1327.673583984375,37.39936065673828
brio101,565,18.887573232,ball_roi,733027,182.97999572753906,751.885498046875,45.45198059082031
brio101,565,18.887573232,red,75471,325.9967956542969,1578.843017578125,25.85862922668457
brio101,565,18.887573232,green,26701,249.46156311035156,1259.1240234375,34.94260025024414
brio101,566,18.923755404999998,ball_roi,733027,177.433349609375,696.0137329101562,46.0322265625
brio101,566,18.923755404999998,red,68132,329.70806884765625,1596.41162109375,25.67173957824707
brio101,566,18.923755404999998,green,30903,258.2668151855469,1313.552490234375,33.4634895324707
brio101,567,18.955590105,ball_roi,733027,169.98574829101562,657.2815551757812,45.943031311035156
brio101,567,18.955590105,red,62679,286.2966613769531,1384.31591796875,24.56467628479004
brio101,567,18.955590105,green,33782,266.30303955078125,1332.5482177734375,30.40906524658203
brio101,568,18.991796556,ball_roi,733027,171.2858123779297,646.059326171875,45.72203826904297
brio101,568,18.991796556,red,62560,237.2993927001953,1058.63623046875,23.021760940551758
brio101,568,18.991796556,green,39489,266.75518798828125,1312.5145263671875,33.04150390625
brio101,569,19.023634701,ball_roi,733027,169.56016540527344,637.9088745117188,45.524959564208984
brio101,569,19.023634701,red,61288,205.35658264160156,865.140869140625,21.76434326171875
brio101,569,19.023634701,green,38873,308.4659118652344,1492.2696533203125,32.53002166748047
brio101,570,19.055583882,ball_roi,733027,168.22291564941406,627.960693359375,45.563079833984375
brio101,570,19.055583882,red,61940,219.7874298095703,895.1263427734375,21.653942108154297
brio101,570,19.055583882,green,40887,297.6734924316406,1431.646240234375,34.202667236328125
brio101,571,19.091587908,ball_roi,733027,171.24253845214844,628.0971069335938,45.569541931152344
brio101,571,19.091587908,red,62314,188.44679260253906,687.8571166992188,20.591812133789062
brio101,571,19.091587908,green,38163,316.0191955566406,1502.85009765625,33.03473663330078
brio101,572,19.123604699999998,ball_roi,733027,169.08969116210938,614.0904541015625,45.49745559692383
brio101,572,19.123604699999998,red,61290,193.55931091308594,614.47900390625,20.065738677978516
brio101,572,19.123604699999998,green,38636,312.7945556640625,1448.3612060546875,33.489261627197266
brio101,573,19.15558914,ball_roi,733027,162.76914978027344,594.22314453125,45.28303909301758
brio101,573,19.15558914,red,61606,204.8999786376953,626.1217651367188,19.488174438476562
brio101,573,19.15558914,green,37593,305.9873352050781,1472.5703125,31.998445510864258
brio101,574,19.191632499,ball_roi,733027,156.63192749023438,578.937744140625,45.2520637512207
brio101,574,19.191632499,red,59400,192.75234985351562,523.7484130859375,19.551420211791992
brio101,574,19.191632499,green,38701,307.558349609375,1523.3013916015625,32.892784118652344
brio101,575,19.223624403,ball_roi,733027,156.3863525390625,568.1486206054688,45.2403564453125
brio101,575,19.223624403,red,55342,185.24668884277344,515.9946899414062,20.30984115600586
brio101,575,19.223624403,green,37647,309.0511474609375,1429.1998291015625,33.12096405029297
brio101,576,19.255582251,ball_roi,733027,159.77239990234375,589.4486694335938,44.997474670410156
brio101,576,19.255582251,red,51316,193.91302490234375,511.9465637207031,20.097766876220703
brio101,576,19.255582251,green,34993,309.4255676269531,1479.8643798828125,32.2120361328125
brio101,577,19.291588535,ball_roi,733027,163.6156005859375,605.5165405273438,44.93234634399414
brio101,577,19.291588535,red,47940,222.77818298339844,599.88037109375,19.148351669311523
brio101,577,19.291588535,green,34401,315.4991149902344,1522.8634033203125,30.97053337097168
